DateTime,WeekDay,PlayersCount
2006-01-09 00:00:00,Friday,1627
2006-01-09 01:00:00,Friday,1110
2006-01-09 02:00:00,Friday,777
2006-01-09 03:00:00,Friday,497
2006-01-09 04:00:00,Friday,318
2006-01-09 05:00:00,Friday,269
2006-01-09 06:00:00,Friday,216
2006-01-09 07:00:00,Friday,231
2006-01-09 08:00:00,Friday,305
2006-01-09 09:00:00,Friday,358
2006-01-09 10:00:00,Friday,496
2006-01-09 11:00:00,Friday,303
2006-01-09 12:00:00,Friday,686
2006-01-09 13:00:00,Friday,742
2006-01-09 14:00:00,Friday,757
2006-01-09 15:00:00,Friday,808
2006-01-09 16:00:00,Friday,932
2006-01-09 17:00:00,Friday,1021
2006-01-09 18:00:00,Friday,908
2006-01-09 19:00:00,Friday,1358
2006-01-09 20:00:00,Friday,1801
2006-01-09 21:00:00,Friday,2066
2006-01-09 22:00:00,Friday,2188
2006-01-09 23:00:00,Friday,2312
2006-01-12 00:00:00,Friday,2326
2006-01-12 01:00:00,Friday,1305
2006-01-12 02:00:00,Friday,911
2006-01-12 03:00:00,Friday,616
2006-01-12 04:00:00,Friday,469
2006-01-12 05:00:00,Friday,374
2006-01-12 06:00:00,Friday,299
2006-01-12 07:00:00,Friday,281
2006-01-12 08:00:00,Friday,426
2006-01-12 09:00:00,Friday,607
2006-01-12 10:00:00,Friday,770
2006-01-12 11:00:00,Friday,859
2006-01-12 12:00:00,Friday,939
2006-01-12 13:00:00,Friday,1100
2006-01-12 14:00:00,Friday,1114
2006-01-12 15:00:00,Friday,1071
2006-01-12 16:00:00,Friday,1087
2006-01-12 17:00:00,Friday,1194
2006-01-12 18:00:00,Friday,1364
2006-01-12 19:00:00,Friday,2062
2006-01-12 20:00:00,Friday,2912
2006-01-12 21:00:00,Friday,3256
2006-01-12 22:00:00,Friday,3391
2006-01-12 23:00:00,Friday,3307
2006-01-13 00:00:00,Friday,5754
2006-01-13 01:00:00,Friday,4416
2006-01-13 02:00:00,Friday,3136
2006-01-13 03:00:00,Friday,2258
2006-01-13 04:00:00,Friday,1672
2006-01-13 05:00:00,Friday,1266
2006-01-13 06:00:00,Friday,960
2006-01-13 07:00:00,Friday,866
2006-01-13 08:00:00,Friday,1160
2006-01-13 09:00:00,Friday,1458
2006-01-13 10:00:00,Friday,1806
2006-01-13 11:00:00,Friday,2210
2006-01-13 12:00:00,Friday,2416
2006-01-13 13:00:00,Friday,2596
2006-01-13 14:00:00,Friday,2716
2006-01-13 15:00:00,Friday,3000
2006-01-13 16:00:00,Friday,3284
2006-01-13 17:00:00,Friday,3192
2006-01-13 18:00:00,Friday,3166
2006-01-13 19:00:00,Friday,3692
2006-01-13 20:00:00,Friday,4430
2006-01-13 21:00:00,Friday,5482
2006-01-13 22:00:00,Friday,6190
2006-01-13 23:00:00,Friday,6532
2006-01-20 00:00:00,Friday,5456
2006-01-20 01:00:00,Friday,3940
2006-01-20 02:00:00,Friday,2892
2006-01-20 03:00:00,Friday,2140
2006-01-20 04:00:00,Friday,1754
2006-01-20 05:00:00,Friday,1290
2006-01-20 06:00:00,Friday,1086
2006-01-20 07:00:00,Friday,1016
2006-01-20 08:00:00,Friday,1184
2006-01-20 09:00:00,Friday,1532
2006-01-20 10:00:00,Friday,1842
2006-01-20 11:00:00,Friday,2274
2006-01-20 12:00:00,Friday,2664
2006-01-20 13:00:00,Friday,2338
2006-01-20 14:00:00,Friday,3044
2006-01-20 15:00:00,Friday,3212
2006-01-20 16:00:00,Friday,3260
2006-01-20 17:00:00,Friday,3300
2006-01-20 18:00:00,Friday,3432
2006-01-20 19:00:00,Friday,3990
2006-01-20 20:00:00,Friday,5004
2006-01-20 21:00:00,Friday,5738
2006-01-20 22:00:00,Friday,6324
2006-01-20 23:00:00,Friday,6402
2006-01-27 00:00:00,Friday,5764
2006-01-27 01:00:00,Friday,4540
2006-01-27 02:00:00,Friday,3312
2006-01-27 03:00:00,Friday,2444
2006-01-27 04:00:00,Friday,1608
2006-01-27 05:00:00,Friday,1066
2006-01-27 06:00:00,Friday,820
2006-01-27 07:00:00,Friday,730
2006-01-27 08:00:00,Friday,1040
2006-01-27 09:00:00,Friday,1420
2006-01-27 10:00:00,Friday,1932
2006-01-27 11:00:00,Friday,2442
2006-01-27 12:00:00,Friday,2768
2006-01-27 13:00:00,Friday,3034
2006-01-27 14:00:00,Friday,3052
2006-01-27 15:00:00,Friday,3300
2006-01-27 16:00:00,Friday,3510
2006-01-27 17:00:00,Friday,3674
2006-01-27 18:00:00,Friday,3284
2006-01-27 19:00:00,Friday,3648
2006-01-27 20:00:00,Friday,4436
2006-01-27 21:00:00,Friday,4208
2006-01-27 22:00:00,Friday,2170
2006-01-27 23:00:00,Friday,5744
2006-02-06 00:00:00,Friday,2181
2006-02-06 01:00:00,Friday,1410
2006-02-06 02:00:00,Friday,894
2006-02-06 03:00:00,Friday,679
2006-02-06 04:00:00,Friday,470
2006-02-06 05:00:00,Friday,341
2006-02-06 06:00:00,Friday,250
2006-02-06 07:00:00,Friday,280
2006-02-06 08:00:00,Friday,367
2006-02-06 09:00:00,Friday,479
2006-02-06 10:00:00,Friday,580
2006-02-06 11:00:00,Friday,690
2006-02-06 12:00:00,Friday,893
2006-02-06 13:00:00,Friday,903
2006-02-06 14:00:00,Friday,848
2006-02-06 15:00:00,Friday,1111
2006-02-06 16:00:00,Friday,1205
2006-02-06 17:00:00,Friday,1309
2006-02-06 18:00:00,Friday,1364
2006-02-06 19:00:00,Friday,1487
2006-02-06 20:00:00,Friday,1975
2006-02-06 21:00:00,Friday,2179
2006-02-06 22:00:00,Friday,2414
2006-02-06 23:00:00,Friday,3001
2006-02-17 00:00:00,Friday,5776
2006-02-17 01:00:00,Friday,4320
2006-02-17 02:00:00,Friday,2746
2006-02-17 03:00:00,Friday,1486
2006-02-17 04:00:00,Friday,1358
2006-02-17 05:00:00,Friday,986
2006-02-17 06:00:00,Friday,834
2006-02-17 07:00:00,Friday,918
2006-02-17 08:00:00,Friday,1222
2006-02-17 09:00:00,Friday,1580
2006-02-17 10:00:00,Friday,1962
2006-02-17 11:00:00,Friday,2110
2006-02-17 12:00:00,Friday,2364
2006-02-17 13:00:00,Friday,2548
2006-02-17 14:00:00,Friday,2382
2006-02-17 15:00:00,Friday,2568
2006-02-17 16:00:00,Friday,3140
2006-02-17 17:00:00,Friday,3366
2006-02-17 18:00:00,Friday,3430
2006-02-17 19:00:00,Friday,4012
2006-02-17 20:00:00,Friday,5172
2006-02-17 21:00:00,Friday,6218
2006-02-17 22:00:00,Friday,6550
2006-02-17 23:00:00,Friday,6852
2006-02-24 00:00:00,Friday,5430
2006-02-24 01:00:00,Friday,4042
2006-02-24 02:00:00,Friday,2816
2006-02-24 03:00:00,Friday,2006
2006-02-24 04:00:00,Friday,1420
2006-02-24 05:00:00,Friday,1168
2006-02-24 06:00:00,Friday,916
2006-02-24 07:00:00,Friday,826
2006-02-24 08:00:00,Friday,984
2006-02-24 09:00:00,Friday,1336
2006-02-24 10:00:00,Friday,1666
2006-02-24 11:00:00,Friday,1704
2006-02-24 12:00:00,Friday,2080
2006-02-24 13:00:00,Friday,2612
2006-02-24 14:00:00,Friday,2700
2006-02-24 15:00:00,Friday,2916
2006-02-24 16:00:00,Friday,2932
2006-02-24 17:00:00,Friday,3092
2006-02-24 18:00:00,Friday,3240
2006-02-24 19:00:00,Friday,4000
2006-02-24 20:00:00,Friday,4894
2006-02-24 21:00:00,Friday,6046
2006-02-24 22:00:00,Friday,6666
2006-02-24 23:00:00,Friday,6642
2006-03-02 00:00:00,Friday,4440
2006-03-02 01:00:00,Friday,4562
2006-03-02 02:00:00,Friday,3526
2006-03-02 03:00:00,Friday,2758
2006-03-02 04:00:00,Friday,2014
2006-03-02 05:00:00,Friday,1466
2006-03-02 06:00:00,Friday,1088
2006-03-02 07:00:00,Friday,966
2006-03-02 08:00:00,Friday,1286
2006-03-02 09:00:00,Friday,1810
2006-03-02 10:00:00,Friday,2598
2006-03-02 11:00:00,Friday,3124
2006-03-02 12:00:00,Friday,3234
2006-03-02 13:00:00,Friday,3596
2006-03-02 14:00:00,Friday,3966
2006-03-02 15:00:00,Friday,3530
2006-03-02 16:00:00,Friday,4310
2006-03-02 17:00:00,Friday,4468
2006-03-02 18:00:00,Friday,3946
2006-03-02 19:00:00,Friday,4136
2006-03-02 20:00:00,Friday,4752
2006-03-02 21:00:00,Friday,5530
2006-03-02 22:00:00,Friday,5138
2006-03-02 23:00:00,Friday,6244
2006-03-03 00:00:00,Friday,5250
2006-03-03 01:00:00,Friday,3798
2006-03-03 02:00:00,Friday,2608
2006-03-03 03:00:00,Friday,1828
2006-03-03 04:00:00,Friday,1516
2006-03-03 05:00:00,Friday,1238
2006-03-03 06:00:00,Friday,916
2006-03-03 07:00:00,Friday,810
2006-03-03 08:00:00,Friday,1084
2006-03-03 09:00:00,Friday,1302
2006-03-03 10:00:00,Friday,1472
2006-03-03 11:00:00,Friday,1658
2006-03-03 12:00:00,Friday,2020
2006-03-03 13:00:00,Friday,2208
2006-03-03 14:00:00,Friday,2382
2006-03-03 15:00:00,Friday,2602
2006-03-03 16:00:00,Friday,2678
2006-03-03 17:00:00,Friday,2584
2006-03-03 18:00:00,Friday,2742
2006-03-03 19:00:00,Friday,3356
2006-03-03 20:00:00,Friday,3708
2006-03-03 21:00:00,Friday,5388
2006-03-03 22:00:00,Friday,5966
2006-03-03 23:00:00,Friday,6124
2006-03-11 13:00:00,Friday,487
2006-03-11 14:00:00,Friday,737
2006-03-11 15:00:00,Friday,885
2006-03-11 16:00:00,Friday,912
2006-03-11 17:00:00,Friday,1085
2006-03-11 18:00:00,Friday,1303
2006-03-11 19:00:00,Friday,1859
2006-03-11 20:00:00,Friday,2473
2006-03-11 21:00:00,Friday,2764
2006-03-11 22:00:00,Friday,3051
2006-03-11 23:00:00,Friday,3234
2006-03-17 00:00:00,Friday,4586
2006-03-17 01:00:00,Friday,3286
