DateTime,WeekDay,PlayersCount
2005-12-31 23:00:00,Saturday,26
2006-01-04 00:00:00,Saturday,5434
2006-01-04 01:00:00,Saturday,4570
2006-01-04 02:00:00,Saturday,3510
2006-01-04 03:00:00,Saturday,2368
2006-01-04 04:00:00,Saturday,1472
2006-01-04 05:00:00,Saturday,1034
2006-01-04 06:00:00,Saturday,836
2006-01-04 07:00:00,Saturday,876
2006-01-04 08:00:00,Saturday,1212
2006-01-04 09:00:00,Saturday,1670
2006-01-04 10:00:00,Saturday,2320
2006-01-04 11:00:00,Saturday,2764
2006-01-04 12:00:00,Saturday,3204
2006-01-04 13:00:00,Saturday,3078
2006-01-04 14:00:00,Saturday,4230
2006-01-04 15:00:00,Saturday,4632
2006-01-04 16:00:00,Saturday,4750
2006-01-04 17:00:00,Saturday,4708
2006-01-04 18:00:00,Saturday,4272
2006-01-04 19:00:00,Saturday,4454
2006-01-04 20:00:00,Saturday,5112
2006-01-04 21:00:00,Saturday,5750
2006-01-04 22:00:00,Saturday,6030
2006-01-04 23:00:00,Saturday,3222
2006-01-07 00:00:00,Saturday,2112
2006-01-07 01:00:00,Saturday,1625
2006-01-07 02:00:00,Saturday,1156
2006-01-07 03:00:00,Saturday,802
2006-01-07 04:00:00,Saturday,576
2006-01-07 05:00:00,Saturday,373
2006-01-07 06:00:00,Saturday,328
2006-01-07 07:00:00,Saturday,377
2006-01-07 08:00:00,Saturday,517
2006-01-07 09:00:00,Saturday,737
2006-01-07 10:00:00,Saturday,1102
2006-01-07 11:00:00,Saturday,1232
2006-01-07 12:00:00,Saturday,1231
2006-01-07 13:00:00,Saturday,1172
2006-01-07 14:00:00,Saturday,1625
2006-01-07 15:00:00,Saturday,1666
2006-01-07 16:00:00,Saturday,1613
2006-01-07 17:00:00,Saturday,1292
2006-01-07 18:00:00,Saturday,1384
2006-01-07 19:00:00,Saturday,1647
2006-01-07 20:00:00,Saturday,2103
2006-01-07 21:00:00,Saturday,2365
2006-01-07 22:00:00,Saturday,2480
2006-01-07 23:00:00,Saturday,2466
2006-01-14 00:00:00,Saturday,6366
2006-01-14 01:00:00,Saturday,5410
2006-01-14 02:00:00,Saturday,4174
2006-01-14 03:00:00,Saturday,2994
2006-01-14 04:00:00,Saturday,2202
2006-01-14 05:00:00,Saturday,1602
2006-01-14 06:00:00,Saturday,1358
2006-01-14 07:00:00,Saturday,1262
2006-01-14 08:00:00,Saturday,1714
2006-01-14 09:00:00,Saturday,2316
2006-01-14 10:00:00,Saturday,2724
2006-01-14 11:00:00,Saturday,3786
2006-01-14 12:00:00,Saturday,3680
2006-01-14 13:00:00,Saturday,3934
2006-01-14 14:00:00,Saturday,4196
2006-01-14 15:00:00,Saturday,4410
2006-01-14 16:00:00,Saturday,4514
2006-01-14 17:00:00,Saturday,4394
2006-01-14 18:00:00,Saturday,4160
2006-01-14 19:00:00,Saturday,4160
2006-01-14 20:00:00,Saturday,4716
2006-01-14 21:00:00,Saturday,5208
2006-01-14 22:00:00,Saturday,5816
2006-01-14 23:00:00,Saturday,6214
2006-01-21 00:00:00,Saturday,5884
2006-01-21 01:00:00,Saturday,5008
2006-01-21 02:00:00,Saturday,4090
2006-01-21 03:00:00,Saturday,3034
2006-01-21 04:00:00,Saturday,1724
2006-01-21 05:00:00,Saturday,1546
2006-01-21 06:00:00,Saturday,1334
2006-01-21 07:00:00,Saturday,1302
2006-01-21 08:00:00,Saturday,1414
2006-01-21 09:00:00,Saturday,2030
2006-01-21 10:00:00,Saturday,2252
2006-01-21 11:00:00,Saturday,3414
2006-01-21 12:00:00,Saturday,3858
2006-01-21 13:00:00,Saturday,4270
2006-01-21 14:00:00,Saturday,4612
2006-01-21 15:00:00,Saturday,4692
2006-01-21 16:00:00,Saturday,4560
2006-01-21 17:00:00,Saturday,3752
2006-01-21 18:00:00,Saturday,4076
2006-01-21 19:00:00,Saturday,4280
2006-01-21 20:00:00,Saturday,4852
2006-01-21 21:00:00,Saturday,5908
2006-01-21 22:00:00,Saturday,6486
2006-01-21 23:00:00,Saturday,6558
2006-01-28 00:00:00,Saturday,5330
2006-01-28 01:00:00,Saturday,2184
2006-01-28 02:00:00,Saturday,3882
2006-01-28 03:00:00,Saturday,2772
2006-01-28 04:00:00,Saturday,1950
2006-01-28 05:00:00,Saturday,1286
2006-01-28 06:00:00,Saturday,1002
2006-01-28 07:00:00,Saturday,936
2006-01-28 08:00:00,Saturday,1252
2006-01-28 09:00:00,Saturday,1774
2006-01-28 10:00:00,Saturday,2390
2006-01-28 11:00:00,Saturday,2814
2006-01-28 12:00:00,Saturday,3208
2006-01-28 13:00:00,Saturday,3998
2006-01-28 14:00:00,Saturday,4414
2006-01-28 15:00:00,Saturday,3856
2006-01-28 16:00:00,Saturday,4498
2006-01-28 17:00:00,Saturday,3652
2006-01-28 18:00:00,Saturday,2536
2006-01-28 19:00:00,Saturday,2572
2006-01-28 20:00:00,Saturday,3280
2006-01-28 21:00:00,Saturday,3974
2006-01-28 22:00:00,Saturday,4468
2006-01-28 23:00:00,Saturday,5032
2006-02-09 00:00:00,Saturday,1907
2006-02-09 01:00:00,Saturday,1458
2006-02-09 02:00:00,Saturday,1100
2006-02-09 03:00:00,Saturday,767
2006-02-09 04:00:00,Saturday,494
2006-02-09 05:00:00,Saturday,326
2006-02-09 06:00:00,Saturday,265
2006-02-09 07:00:00,Saturday,328
2006-02-09 08:00:00,Saturday,488
2006-02-09 09:00:00,Saturday,682
2006-02-09 10:00:00,Saturday,919
2006-02-09 11:00:00,Saturday,1059
2006-02-09 12:00:00,Saturday,969
