DateTime,WeekDay,PlayersCount
2006-01-06 00:00:00,Thursday,2028
2006-01-06 01:00:00,Thursday,1289
2006-01-06 02:00:00,Thursday,163
2006-01-06 11:00:00,Thursday,571
2006-01-06 12:00:00,Thursday,804
2006-01-06 13:00:00,Thursday,799
2006-01-06 14:00:00,Thursday,820
2006-01-06 15:00:00,Thursday,899
2006-01-06 16:00:00,Thursday,1011
2006-01-06 17:00:00,Thursday,955
2006-01-06 18:00:00,Thursday,1296
2006-01-06 19:00:00,Thursday,1719
2006-01-06 20:00:00,Thursday,2365
2006-01-06 21:00:00,Thursday,2724
2006-01-06 22:00:00,Thursday,2867
2006-01-06 23:00:00,Thursday,2758
2006-01-19 00:00:00,Thursday,5632
2006-01-19 01:00:00,Thursday,4050
2006-01-19 02:00:00,Thursday,298
2006-01-19 11:00:00,Thursday,1722
2006-01-19 12:00:00,Thursday,2654
2006-01-19 13:00:00,Thursday,3138
2006-01-19 14:00:00,Thursday,3354
2006-01-19 15:00:00,Thursday,3384
2006-01-19 16:00:00,Thursday,3402
2006-01-19 17:00:00,Thursday,3548
2006-01-19 18:00:00,Thursday,3576
2006-01-19 19:00:00,Thursday,4112
2006-01-19 20:00:00,Thursday,5408
2006-01-19 21:00:00,Thursday,6304
2006-01-19 22:00:00,Thursday,6964
2006-01-19 23:00:00,Thursday,6686
2006-01-26 00:00:00,Thursday,5548
2006-01-26 01:00:00,Thursday,4180
2006-01-26 11:00:00,Thursday,2364
2006-01-26 12:00:00,Thursday,2818
2006-01-26 13:00:00,Thursday,1000
2006-01-26 14:00:00,Thursday,3050
2006-01-26 15:00:00,Thursday,3100
2006-01-26 16:00:00,Thursday,3198
2006-01-26 17:00:00,Thursday,3084
2006-01-26 18:00:00,Thursday,3138
2006-01-26 19:00:00,Thursday,3592
2006-01-26 20:00:00,Thursday,4694
2006-01-26 21:00:00,Thursday,5768
2006-01-26 22:00:00,Thursday,6474
2006-01-26 23:00:00,Thursday,6588
2006-02-02 00:00:00,Thursday,5568
2006-02-02 01:00:00,Thursday,4708
2006-02-02 02:00:00,Thursday,130
