DateTime,WeekDay,PlayersCount
2006-01-08 00:00:00,Tuesday,1737
2006-01-08 01:00:00,Tuesday,1156
2006-01-08 02:00:00,Tuesday,732
2006-01-08 03:00:00,Tuesday,468
2006-01-08 04:00:00,Tuesday,346
2006-01-08 05:00:00,Tuesday,260
2006-01-08 06:00:00,Tuesday,227
2006-01-08 07:00:00,Tuesday,222
2006-01-08 08:00:00,Tuesday,312
2006-01-08 09:00:00,Tuesday,430
2006-01-08 10:00:00,Tuesday,542
2006-01-08 11:00:00,Tuesday,534
2006-01-08 12:00:00,Tuesday,722
2006-01-08 13:00:00,Tuesday,747
2006-01-08 14:00:00,Tuesday,838
2006-01-08 15:00:00,Tuesday,922
2006-01-08 16:00:00,Tuesday,967
2006-01-08 17:00:00,Tuesday,1006
2006-01-08 18:00:00,Tuesday,1047
2006-01-08 19:00:00,Tuesday,1338
2006-01-08 20:00:00,Tuesday,2089
2006-01-08 21:00:00,Tuesday,2394
2006-01-08 22:00:00,Tuesday,2505
2006-01-08 23:00:00,Tuesday,2449
2006-01-17 00:00:00,Tuesday,5574
2006-01-17 01:00:00,Tuesday,4072
2006-01-17 02:00:00,Tuesday,2922
2006-01-17 03:00:00,Tuesday,2030
2006-01-17 04:00:00,Tuesday,1728
2006-01-17 05:00:00,Tuesday,1288
2006-01-17 06:00:00,Tuesday,1054
2006-01-17 07:00:00,Tuesday,768
2006-01-17 08:00:00,Tuesday,1100
2006-01-17 09:00:00,Tuesday,1136
2006-01-17 10:00:00,Tuesday,1762
2006-01-17 11:00:00,Tuesday,2132
2006-01-17 12:00:00,Tuesday,2524
2006-01-17 13:00:00,Tuesday,2492
2006-01-17 14:00:00,Tuesday,2638
2006-01-17 15:00:00,Tuesday,2916
2006-01-17 16:00:00,Tuesday,3262
2006-01-17 17:00:00,Tuesday,3306
2006-01-17 18:00:00,Tuesday,3514
2006-01-17 19:00:00,Tuesday,4238
2006-01-17 20:00:00,Tuesday,5198
2006-01-17 21:00:00,Tuesday,6234
2006-01-17 22:00:00,Tuesday,6878
2006-01-17 23:00:00,Tuesday,6590
2006-01-24 00:00:00,Tuesday,5734
2006-01-24 01:00:00,Tuesday,4438
