DateTime,WeekDay,PlayersCount
2006-01-02 00:00:00,Wednesday,5264
2006-01-02 01:00:00,Wednesday,4506
2006-01-02 02:00:00,Wednesday,3652
2006-01-02 03:00:00,Wednesday,2718
2006-01-02 04:00:00,Wednesday,1876
2006-01-02 05:00:00,Wednesday,1102
2006-01-02 06:00:00,Wednesday,1142
2006-01-02 07:00:00,Wednesday,1114
2006-01-02 08:00:00,Wednesday,1262
2006-01-02 09:00:00,Wednesday,1850
2006-01-02 10:00:00,Wednesday,2546
2006-01-02 11:00:00,Wednesday,3164
2006-01-02 12:00:00,Wednesday,3324
2006-01-02 13:00:00,Wednesday,3716
2006-01-02 14:00:00,Wednesday,4228
2006-01-02 15:00:00,Wednesday,4618
2006-01-02 16:00:00,Wednesday,4520
2006-01-02 17:00:00,Wednesday,4260
2006-01-02 18:00:00,Wednesday,3682
2006-01-02 19:00:00,Wednesday,3810
2006-01-02 20:00:00,Wednesday,4172
2006-01-02 21:00:00,Wednesday,4892
2006-01-02 22:00:00,Wednesday,5482
2006-01-02 23:00:00,Wednesday,5768
2006-01-03 00:00:00,Wednesday,4250
2006-01-03 01:00:00,Wednesday,3448
2006-01-03 02:00:00,Wednesday,2344
2006-01-03 03:00:00,Wednesday,1712
2006-01-03 04:00:00,Wednesday,1384
2006-01-03 05:00:00,Wednesday,1130
2006-01-03 06:00:00,Wednesday,924
2006-01-03 07:00:00,Wednesday,736
2006-01-03 08:00:00,Wednesday,864
2006-01-03 09:00:00,Wednesday,1236
2006-01-03 10:00:00,Wednesday,1568
2006-01-03 11:00:00,Wednesday,1852
2006-01-03 12:00:00,Wednesday,2286
2006-01-03 13:00:00,Wednesday,2446
2006-01-03 14:00:00,Wednesday,2566
2006-01-03 15:00:00,Wednesday,2722
2006-01-03 16:00:00,Wednesday,2872
2006-01-03 17:00:00,Wednesday,2852
2006-01-03 18:00:00,Wednesday,3040
2006-01-03 19:00:00,Wednesday,3998
2006-01-03 20:00:00,Wednesday,5272
2006-01-03 21:00:00,Wednesday,6208
2006-01-03 22:00:00,Wednesday,6592
2006-01-03 23:00:00,Wednesday,6418
2006-01-11 00:00:00,Wednesday,1250
2006-01-11 01:00:00,Wednesday,822
2006-01-11 02:00:00,Wednesday,575
2006-01-11 03:00:00,Wednesday,430
2006-01-11 04:00:00,Wednesday,299
2006-01-11 05:00:00,Wednesday,248
2006-01-11 06:00:00,Wednesday,181
2006-01-11 07:00:00,Wednesday,158
2006-01-11 08:00:00,Wednesday,197
2006-01-11 09:00:00,Wednesday,263
2006-01-11 10:00:00,Wednesday,370
2006-01-11 11:00:00,Wednesday,413
2006-01-11 12:00:00,Wednesday,428
2006-01-11 13:00:00,Wednesday,498
2006-01-11 14:00:00,Wednesday,496
2006-01-11 15:00:00,Wednesday,499
2006-01-11 16:00:00,Wednesday,572
2006-01-11 17:00:00,Wednesday,628
2006-01-11 18:00:00,Wednesday,655
2006-01-11 19:00:00,Wednesday,741
2006-01-11 20:00:00,Wednesday,1387
2006-01-11 21:00:00,Wednesday,1699
2006-01-11 22:00:00,Wednesday,1939
2006-01-11 23:00:00,Wednesday,1710
2006-01-18 00:00:00,Wednesday,5534
2006-01-18 01:00:00,Wednesday,4130
2006-01-18 02:00:00,Wednesday,2976
2006-01-18 03:00:00,Wednesday,1662
2006-01-18 04:00:00,Wednesday,1874
2006-01-18 05:00:00,Wednesday,1494
