,AvatarID,Total_days_actv,Actual_days_actv,Active_Ratio,Total_login,Level_l,Level_m,Level_h,Race_Orc,Race_Tauren,Race_Troll,Race_Undead,Class_Warrior,Class_Hunter,Class_Rogue,Class_Shaman,Class_Warlock,Class_Druid,Class_Mage,Class_Priest,Churn
0,148,748,66,8.82352941176,1202,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,463,3307,158,4.77774417901,2412,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
2,471,12,11,91.6666666667,253,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,496,0,1,,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,833,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5,1088,3297,70,2.12314225053,1527,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
6,1238,2576,93,3.6102484472,1018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
7,1342,3676,76,2.06746463547,658,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,1580,2581,103,3.99070127857,1232,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
9,1591,741,49,6.61268556005,1598,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
10,1645,3677,76,2.06690236606,482,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
11,1829,0,1,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
12,1959,3679,134,3.64229410166,1723,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
13,2122,3664,67,1.82860262009,95,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,2142,0,1,,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,2366,3671,49,1.33478616181,232,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16,2659,1464,20,1.36612021858,123,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17,2866,3674,248,6.75013609145,5773,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
18,3175,0,1,,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
19,3749,0,1,,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,3794,3668,61,1.66303162486,85,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,3918,0,1,,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,3997,0,1,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
23,4101,0,1,,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
24,4519,0,1,,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
25,4818,345,2,0.579710144928,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
26,4900,0,1,,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
27,4935,8,4,50.0,23,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,5156,7,6,85.7142857143,25,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
29,5300,347,3,0.864553314121,12,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
30,5518,3,2,66.6666666667,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
31,5803,0,1,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
32,6336,0,1,,25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
33,6357,366,5,1.36612021858,20,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
34,6397,14,10,71.4285714286,135,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
35,6466,0,1,,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36,6620,2194,12,0.546946216955,166,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
37,6654,0,1,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
38,6658,1,2,200.0,33,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
39,7240,1,2,200.0,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
40,7253,0,1,,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
41,7340,0,1,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
42,7554,1,2,200.0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
43,7754,0,1,,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
44,7833,0,1,,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
45,7880,2905,38,1.30808950086,656,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
46,7982,345,4,1.15942028986,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
47,7993,1452,9,0.619834710744,111,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
48,8086,0,1,,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
49,8389,344,4,1.16279069767,36,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
50,8592,0,1,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
51,8638,1439,95,6.60180681028,4754,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
52,9376,11,4,36.3636363636,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53,9427,0,1,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,9465,2184,12,0.549450549451,49,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
55,9852,0,1,,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
56,9900,737,31,4.20624151967,543,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
57,10206,0,1,,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
58,10362,0,1,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
59,10623,1,2,200.0,41,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
60,10817,2919,21,0.719424460432,24,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
61,11033,2168,4,0.184501845018,139,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
62,11141,7,3,42.8571428571,101,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
63,11317,0,1,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
64,11458,0,1,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
65,11748,1,2,200.0,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
66,11858,7,2,28.5714285714,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
67,12027,382,43,11.2565445026,987,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
68,12046,0,1,,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
69,12799,0,1,,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
70,12940,1,2,200.0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
71,13285,2539,36,1.41788105553,120,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
72,13289,2182,6,0.274977085243,54,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
73,13623,0,1,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
74,13832,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
75,13840,1,2,200.0,26,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
76,14450,0,1,,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
77,14570,1080,8,0.740740740741,35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
78,14832,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
79,15447,1470,37,2.51700680272,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
80,15619,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
81,15727,1,2,200.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
82,15790,14,3,21.4285714286,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
83,15846,0,1,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
84,15957,13,2,15.3846153846,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
85,16339,360,3,0.833333333333,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
86,16386,1838,83,4.51577801959,1455,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
87,16503,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
88,16574,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
89,16861,1081,3,0.277520814061,13,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
90,17389,0,1,,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
91,17420,748,2,0.267379679144,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
92,17679,1478,10,0.676589986468,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
93,17753,0,1,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
94,18024,724,53,7.32044198895,2339,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
95,18051,358,2,0.558659217877,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
96,18498,1093,11,1.00640439158,80,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
97,18654,0,1,,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
98,18800,1107,4,0.361336946703,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
99,18866,1112,18,1.61870503597,21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
100,18911,0,1,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
101,18944,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
102,18979,0,1,,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
103,19079,0,1,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
104,19204,15,6,40.0,13,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
105,19530,1098,85,7.74134790528,2510,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
106,19553,0,1,,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
107,19984,0,1,,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
108,20135,0,1,,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
109,20382,737,5,0.67842605156,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
110,20497,732,20,2.73224043716,153,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
111,20683,725,15,2.06896551724,84,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
112,20735,0,1,,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
113,20924,0,1,,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
114,21220,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
115,21700,0,1,,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
116,22097,25,13,52.0,150,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
117,22223,0,1,,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
118,22346,26,27,103.846153846,1032,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
119,22373,24,16,66.6666666667,173,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
120,22521,20,12,60.0,77,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
121,23015,24,24,100.0,825,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
122,23271,0,1,,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
123,23336,0,1,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
124,23364,8,2,25.0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
125,23571,6,3,50.0,30,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
126,24171,16,3,18.75,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
127,24347,17,7,41.1764705882,46,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
128,24354,11,2,18.1818181818,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
129,24663,0,1,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
130,25462,7,8,114.285714286,180,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
131,25517,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
132,25591,5,6,120.0,174,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
133,26087,1,2,200.0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
134,243,381,18,4.72440944882,655,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
135,392,1855,98,5.28301886792,677,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
136,540,3680,317,8.61413043478,9452,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
137,623,735,35,4.7619047619,1075,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
138,737,3303,177,5.35876475931,4297,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
139,858,3679,210,5.70807284588,5093,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
140,897,1831,148,8.08301474604,5150,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
141,1025,2578,63,2.44375484872,594,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
142,1084,1852,14,0.755939524838,167,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
143,1127,2220,86,3.87387387387,362,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
144,1395,2568,71,2.76479750779,910,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
145,1460,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
146,1483,11,6,54.5454545455,41,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
147,1507,3287,69,2.09917858229,1979,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
148,1522,1,2,200.0,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
149,1721,374,32,8.55614973262,870,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
150,1896,731,37,5.06155950752,1204,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
151,1990,2218,4,0.180342651037,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
152,2235,0,1,,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
153,2387,0,1,,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
154,2563,3672,239,6.50871459695,6090,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
155,2580,2936,39,1.32833787466,543,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1
156,2811,2210,4,0.180995475113,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
157,2999,0,1,,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
158,3179,2574,5,0.19425019425,34,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
159,3226,380,5,1.31578947368,19,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
160,3475,371,3,0.808625336927,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
161,3698,355,2,0.56338028169,19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
162,4158,3642,224,6.1504667765,8471,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
163,4161,0,1,,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
164,4190,1097,28,2.55241567912,346,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
165,4219,1835,5,0.272479564033,18,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
166,4929,2169,72,3.31950207469,635,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
167,5614,0,1,,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
168,6393,20,14,70.0,289,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
169,6623,0,1,,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
170,6773,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
171,7168,0,1,,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
172,7417,13,3,23.0769230769,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
173,8105,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
174,8803,2562,4,0.15612802498,32,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
175,8928,0,1,,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
176,8932,0,1,,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
177,9182,2943,174,5.9123343527,7704,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
178,9564,0,1,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
179,9879,3,4,133.333333333,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
180,10081,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
181,10121,1444,10,0.692520775623,317,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
182,10230,0,1,,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
183,10462,0,1,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
184,10703,1080,7,0.648148148148,90,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
185,10914,1082,14,1.29390018484,407,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
186,11280,1836,29,1.57952069717,67,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
187,11316,2581,166,6.43161565285,2935,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
188,11500,2572,40,1.55520995334,187,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
189,11710,2577,118,4.57896779201,6224,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
190,12006,2562,54,2.10772833724,2620,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
191,12367,0,1,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
192,12471,1096,5,0.456204379562,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
193,12611,0,1,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
194,12626,5,3,60.0,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
195,12715,1457,26,1.78448867536,106,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
196,13261,0,1,,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
197,13622,0,1,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
198,14075,0,1,,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
199,14148,1472,7,0.475543478261,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
200,14423,13,9,69.2307692308,84,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
201,14465,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
202,14514,717,44,6.13668061367,1855,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
203,14536,730,43,5.8904109589,850,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
204,14876,0,1,,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
205,15003,2193,79,3.60237118103,3283,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
